Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC09_L2SP_029030_20220102_20230503_02_T1,LC09_L1TP_029030_20220102_20230503_02_T1,LC90290302022002LGN02,2022/01/02,T1,2, 029, 030, 029, 030,NADIR,   0.000,2023/05/03,2023/05/03,2022-01-02 17:11:47,2022-01-02 17:12:19,LGN,DAY,   5.08,   5.08,318,5,    9.514,    5.902,    7.462,LPGS_16.2.0,21.39196512,160.08182016,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,43°11'04.78"N,97°07'34.18"W,44°14'45.60"N,98°32'11.72"W,44°11'52.84"N,95°39'26.71"W,42°08'29.90"N,98°33'08.06"W,42°05'49.34"N,95°46'12.36"W, 43.18466, -97.12616, 44.24600, -98.53659, 44.19801, -95.65742, 42.14164, -98.55224, 42.09704, -95.77010,LC09_L2SP_029030_20220102_20230503_02_T1,LC90290302022002LGN02
LC09_L2SP_029031_20220102_20230503_02_T1,LC09_L1TP_029031_20220102_20230503_02_T1,LC90290312022002LGN02,2022/01/02,T1,2, 029, 031, 029, 031,NADIR,   0.000,2023/05/03,2023/05/03,2022-01-02 17:12:11,2022-01-02 17:12:43,LGN,DAY,   6.08,   6.08,363,5,    9.245,    5.821,    7.182,LPGS_16.2.0,22.63303764,159.52088813,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,41°45'34.20"N,97°36'16.45"W,42°48'54.94"N,98°59'29.18"W,42°46'49.44"N,96°10'29.42"W,40°42'37.12"N,98°59'30.16"W,40°40'40.51"N,96°15'56.02"W, 41.75950, -97.60457, 42.81526, -98.99144, 42.78040, -96.17484, 40.71031, -98.99171, 40.67792, -96.26556,LC09_L2SP_029031_20220102_20230503_02_T1,LC90290312022002LGN02
LC08_L2SP_028030_20220103_20220113_02_T1,LC08_L1TP_028030_20220103_20220113_02_T1,LC80280302022003LGN00,2022/01/03,T1,2, 028, 030, 028, 030,NADIR,   0.000,2022/01/13,2022/01/13,2022-01-03 17:05:35.016481,2022-01-03 17:06:06.786481,LGN,DAY,   4.45,   4.45,380,5,    8.589,    5.128,    6.891,LPGS_15.5.0,21.45944227,159.95467549,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.67"N,95°33'40.36"W,44°13'19.34"N,97°05'46.79"W,44°17'24.25"N,94°07'09.44"W,42°03'19.55"N,96°57'14.26"W,42°07'06.67"N,94°04'48.97"W, 43.18463, -95.56121, 44.22204, -97.09633, 44.29007, -94.11929, 42.05543, -96.95396, 42.11852, -94.08027,LC08_L2SP_028030_20220103_20220113_02_T1,LC80280302022003LGN00
LC08_L2SP_028032_20220103_20220113_02_T1,LC08_L1TP_028032_20220103_20220113_02_T1,LC80280322022003LGN00,2022/01/03,T1,2, 028, 032, 028, 032,NADIR,   0.000,2022/01/13,2022/01/13,2022-01-03 17:06:22.790089,2022-01-03 17:06:54.560088,LGN,DAY,  19.82,  19.82,190,5,    9.181,    6.116,    6.847,LPGS_15.5.0,23.93444822,158.82396708,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,40°19'57.25"N,96°30'06.23"W,41°23'36.53"N,97°49'44.22"W,41°20'00.13"N,95°06'07.31"W,39°18'07.02"N,97°51'52.49"W,39°14'45.96"N,95°13'13.15"W, 40.33257, -96.50173, 41.39348, -97.82895, 41.33337, -95.10203, 39.30195, -97.86458, 39.24610, -95.22032,LC08_L2SP_028032_20220103_20220113_02_T1,LC80280322022003LGN00
LC08_L2SP_026031_20220105_20220114_02_T1,LC08_L1TP_026031_20220105_20220114_02_T1,LC80260312022005LGN00,2022/01/05,T1,2, 026, 031, 026, 031,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-05 16:53:37.151417,2022-01-05 16:54:08.921416,LGN,DAY,  13.99,  13.99,142,5,    8.863,    5.659,    6.822,LPGS_15.6.0,22.84562339,159.10576304,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,41°45'34.52"N,92°57'07.06"W,42°48'34.96"N,94°22'29.10"W,42°48'30.56"N,91°31'38.75"W,40°41'01.43"N,94°19'48.43"W,40°40'57.36"N,91°34'30.83"W, 41.75959, -92.95196, 42.80971, -94.37475, 42.80849, -91.52743, 40.68373, -94.33012, 40.68260, -91.57523,LC08_L2SP_026031_20220105_20220114_02_T1,LC80260312022005LGN00
LC09_L2SP_025031_20220106_20230502_02_T1,LC09_L1TP_025031_20220106_20230502_02_T1,LC90250312022006LGN02,2022/01/06,T1,2, 025, 031, 025, 031,NADIR,   0.000,2023/05/02,2023/05/02,2022-01-06 16:47:27,2022-01-06 16:47:59,LGN,DAY,   1.73,   1.73,186,5,   10.057,    7.035,    7.188,LPGS_16.2.0,22.92713739,158.95172335,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,41°45'35.17"N,91°25'26.11"W,42°49'04.04"N,92°48'15.41"W,42°46'42.35"N,89°59'29.65"W,40°42'46.30"N,92°48'38.05"W,40°40'34.61"N,90°05'17.41"W, 41.75977, -91.42392, 42.81779, -92.80428, 42.77843, -89.99157, 40.71286, -92.81057, 40.67628, -90.08817,LC09_L2SP_025031_20220106_20230502_02_T1,LC90250312022006LGN02
LC08_L2SP_024030_20220107_20220114_02_T1,LC08_L1TP_024030_20220107_20220114_02_T1,LC80240302022007LGN00,2022/01/07,T1,2, 024, 030, 024, 030,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-07 16:40:51.449198,2022-01-07 16:41:23.219198,LGN,DAY,   7.01,   7.01,333,5,    9.221,    6.139,    6.880,LPGS_15.6.0,21.79014778,159.39036166,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,43°11'05.03"N,89°23'06.47"W,44°13'22.69"N,90°54'58.03"W,44°17'10.54"N,87°56'33"W,42°03'30.96"N,90°46'48.58"W,42°07'02.28"N,87°54'34.88"W, 43.18473, -89.38513, 44.22297, -90.91612, 44.28626, -87.94250, 42.05860, -90.78016, 42.11730, -87.90969,LC08_L2SP_024030_20220107_20220114_02_T1,LC80240302022007LGN00
LC08_L2SP_024031_20220107_20220114_02_T1,LC08_L1TP_024031_20220107_20220114_02_T1,LC80240312022007LGN00,2022/01/07,T1,2, 024, 031, 024, 031,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-07 16:41:15.336002,2022-01-07 16:41:47.106001,LGN,DAY,   1.61,   1.61,256,5,    9.403,    6.311,    6.971,LPGS_15.6.0,23.02202470,158.81718804,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'34.16"N,89°51'48.71"W,42°47'38.98"N,91°21'49.75"W,42°52'05.09"N,88°27'37.87"W,40°37'39.86"N,91°13'09.98"W,40°41'46.57"N,88°24'43.34"W, 41.75949, -89.86353, 42.79416, -91.36382, 42.86808, -88.46052, 40.62774, -91.21944, 40.69627, -88.41204,LC08_L2SP_024031_20220107_20220114_02_T1,LC80240312022007LGN00
LC08_L2SP_029030_20220110_20220122_02_T1,LC08_L1TP_029030_20220110_20220122_02_T1,LC80290302022010LGN00,2022/01/10,T1,2, 029, 030, 029, 030,NADIR,   0.000,2022/01/22,2022/01/22,2022-01-10 17:11:45.192547,2022-01-10 17:12:16.962546,LGN,DAY,   4.55,   4.55,417,5,    9.387,    5.747,    7.423,LPGS_15.6.0,22.11936798,158.95914891,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,43°11'05.46"N,97°06'39.06"W,44°14'45.31"N,98°31'04.08"W,44°11'50.86"N,95°38'19.25"W,42°08'29.65"N,98°32'02.72"W,42°05'47.47"N,95°45'07.16"W, 43.18485, -97.11085, 44.24592, -98.51780, 44.19746, -95.63868, 42.14157, -98.53409, 42.09652, -95.75199,LC08_L2SP_029030_20220110_20220122_02_T1,LC80290302022010LGN00
LC08_L2SP_029031_20220110_20220122_02_T1,LC08_L1TP_029031_20220110_20220122_02_T1,LC80290312022010LGN00,2022/01/10,T1,2, 029, 031, 029, 031,NADIR,   0.000,2022/01/22,2022/01/22,2022-01-10 17:12:09.07935,2022-01-10 17:12:40.84935,LGN,DAY,   0.11,   0.11,478,5,    8.322,    5.179,    6.514,LPGS_15.6.0,23.34539576,158.37691842,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,41°45'34.49"N,97°35'21.30"W,42°49'04.66"N,98°58'36.34"W,42°46'57.50"N,96°09'23.04"W,40°42'27.40"N,98°58'39.04"W,40°40'29.28"N,96°14'52.58"W, 41.75958, -97.58925, 42.81796, -98.97676, 42.78264, -96.15640, 40.70761, -98.97751, 40.67480, -96.24794,LC08_L2SP_029031_20220110_20220122_02_T1,LC80290312022010LGN00
